Gender,Choice,Price,Leather,Fuel Type,Cylinders,Drive wheel
Female,1,25,Non-leather, Diesel, 6, Rear
Female,0,25,Non-leather, Hybrid, 4, Rear
Female,0,15,Non-leather, Diesel, 4, Front
Female,0,20,Non-leather, Diesel, 6, Rear
Female,1,20,Leather, Diesel, 4, Front
Female,0,20,Non-leather, Diesel, 4, 4x4
Female,0,20,Leather, Hybrid, 4, Rear
Female,1,25,Non-leather, Hybrid, 4, Front
Female,1,25,Leather, Diesel, 4, Front
Female,0,15,Leather, Petrol, 4, Front
Female,0,20,Non-leather, Hybrid, 6, 4x4
Female,1,15,Non-leather, Hybrid, 4, 4x4
Female,0,15,Non-leather, Petrol, 4, 4x4
Female,0,25,Non-leather, Hybrid, 6, Front
Female,0,25,Leather, Hybrid, 6, Rear
Female,0,25,Non-leather, Hybrid, 4, 4x4
Female,1,20,Leather, Diesel, 4, Rear
Female,1,25,Non-leather, Petrol, 6, Rear
Female,0,15,Non-leather, Hybrid, 4, Front
Female,1,25,Non-leather, Diesel, 4, 4x4
Female,1,20,Non-leather, Petrol, 6, Front
Female,0,25,Non-leather, Petrol, 4, 4x4
Female,0,15,Leather, Petrol, 6, Front
Female,1,20,Leather, Petrol, 4, Front
Female,0,25,Non-leather, Petrol, 6, Front
Female,1,15,Non-leather, Hybrid, 6, 4x4
Female,0,15,Leather, Petrol, 6, Rear
Female,1,25,Non-leather, Petrol, 4, Rear
Female,0,20,Non-leather, Petrol, 6, 4x4
Female,1,20,Non-leather, Diesel, 6, 4x4
Female,0,25,Leather, Diesel, 4, Rear
Female,1,15,Non-leather, Diesel, 6, 4x4
Female,0,25,Non-leather, Hybrid, 6, Rear
Female,0,15,Leather, Diesel, 6, 4x4
Female,0,25,Leather, Diesel, 6, 4x4
Female,0,25,Non-leather, Petrol, 6, 4x4
Female,1,25,Leather, Hybrid, 4, Rear
Female,1,15,Non-leather, Petrol, 4, Rear
Female,0,20,Non-leather, Diesel, 6, Front
Female,1,25,Non-leather, Diesel, 4, Rear
Female,0,25,Leather, Hybrid, 6, 4x4
Female,0,25,Leather, Hybrid, 6, Front
Female,0,15,Non-leather, Petrol, 6, Front
Female,0,20,Non-leather, Petrol, 6, Rear
Female,0,15,Leather, Hybrid, 4, Rear
Female,1,25,Non-leather, Diesel, 4, Front
Female,0,20,Non-leather, Diesel, 4, Rear
Female,0,20,Non-leather, Petrol, 4, Rear
Female,0,25,Leather, Petrol, 4, Rear
Female,0,15,Leather, Diesel, 4, 4x4
Female,0,20,Leather, Hybrid, 4, Front
Female,1,15,Non-leather, Petrol, 6, 4x4
Female,1,15,Leather, Diesel, 6, Rear
Female,0,20,Leather, Petrol, 6, Front
Female,0,25,Non-leather, Petrol, 4, Front
Female,0,20,Non-leather, Petrol, 4, Front
Female,1,20,Non-leather, Hybrid, 6, Front
Female,0,20,Leather, Hybrid, 6, Rear
Female,1,15,Leather, Petrol, 4, Rear
Female,0,25,Leather, Hybrid, 4, 4x4
Female,0,20,Non-leather, Petrol, 4, 4x4
Female,1,20,Leather, Hybrid, 6, 4x4
Female,0,20,Non-leather, Hybrid, 6, Rear
Female,1,15,Non-leather, Diesel, 4, Rear
Female,1,20,Non-leather, Hybrid, 4, Front
Female,0,20,Non-leather, Hybrid, 4, Rear
Female,0,15,Leather, Hybrid, 4, Front
Female,1,25,Leather, Diesel, 4, 4x4
Female,1,15,Leather, Hybrid, 4, 4x4
Female,0,20,Leather, Hybrid, 4, 4x4
Female,0,15,Leather, Diesel, 4, Front
Female,0,25,Non-leather, Diesel, 6, Front
Female,1,25,Leather, Petrol, 4, 4x4
Female,0,15,Leather, Diesel, 4, Rear
Female,0,20,Leather, Petrol, 4, Rear
Female,1,20,Leather, Diesel, 6, Rear
Female,0,15,Non-leather, Diesel, 6, Rear
Female,0,20,Leather, Hybrid, 6, Front
Female,0,25,Leather, Petrol, 4, Front
Female,1,15,Leather, Hybrid, 6, Rear
Female,0,20,Leather, Petrol, 6, Rear
Female,1,25,Leather, Hybrid, 4, Front
Female,1,20,Leather, Diesel, 4, 4x4
Female,0,20,Non-leather, Diesel, 4, Front
Female,1,15,Leather, Hybrid, 6, Front
Female,0,15,Leather, Petrol, 6, 4x4
Female,0,15,Leather, Hybrid, 6, 4x4
Female,0,25,Non-leather, Diesel, 6, Rear
Female,1,25,Non-leather, Hybrid, 4, Rear
Female,0,15,Non-leather, Diesel, 4, Front
Female,1,20,Non-leather, Diesel, 6, Rear
Female,1,20,Leather, Diesel, 4, Front
Female,0,20,Non-leather, Diesel, 4, 4x4
Female,0,20,Leather, Hybrid, 4, Rear
Female,1,25,Non-leather, Hybrid, 4, Front
Female,1,25,Leather, Diesel, 4, Front
Female,0,15,Leather, Petrol, 4, Front
Female,0,20,Non-leather, Hybrid, 6, 4x4
Female,1,15,Non-leather, Hybrid, 4, 4x4
Female,1,15,Non-leather, Petrol, 4, 4x4
Female,1,25,Non-leather, Hybrid, 6, Front
Female,0,25,Leather, Hybrid, 6, Rear
Female,0,25,Non-leather, Hybrid, 4, 4x4
Female,0,20,Leather, Diesel, 4, Rear
Female,0,25,Non-leather, Petrol, 6, Rear
Female,0,15,Non-leather, Hybrid, 4, Front
Female,0,25,Non-leather, Diesel, 4, 4x4
Female,1,20,Non-leather, Petrol, 6, Front
Female,0,25,Non-leather, Petrol, 4, 4x4
Female,1,15,Leather, Petrol, 6, Front
Female,1,20,Leather, Petrol, 4, Front
Female,0,25,Non-leather, Petrol, 6, Front
Female,1,15,Non-leather, Hybrid, 6, 4x4
Female,1,15,Leather, Petrol, 6, Rear
Female,0,25,Non-leather, Petrol, 4, Rear
Female,0,20,Non-leather, Petrol, 6, 4x4
Female,0,20,Non-leather, Diesel, 6, 4x4
Female,1,25,Leather, Diesel, 4, Rear
Female,0,15,Non-leather, Diesel, 6, 4x4
Female,1,25,Non-leather, Hybrid, 6, Rear
Female,1,15,Leather, Diesel, 6, 4x4
Female,0,25,Leather, Diesel, 6, 4x4
Female,0,25,Non-leather, Petrol, 6, 4x4
Female,0,25,Leather, Hybrid, 4, Rear
Female,0,15,Non-leather, Petrol, 4, Rear
Female,1,20,Non-leather, Diesel, 6, Front
Female,1,25,Non-leather, Diesel, 4, Rear
Female,0,25,Leather, Hybrid, 6, 4x4
Female,1,25,Leather, Hybrid, 6, Front
Female,0,15,Non-leather, Petrol, 6, Front
Female,1,20,Non-leather, Petrol, 6, Rear
Female,1,15,Leather, Hybrid, 4, Rear
Female,0,25,Non-leather, Diesel, 4, Front
Female,1,20,Non-leather, Diesel, 4, Rear
Female,0,20,Non-leather, Petrol, 4, Rear
Female,0,25,Leather, Petrol, 4, Rear
Female,1,15,Leather, Diesel, 4, 4x4
Female,1,20,Leather, Hybrid, 4, Front
Female,0,15,Non-leather, Petrol, 6, 4x4
Female,1,15,Leather, Diesel, 6, Rear
Female,1,20,Leather, Petrol, 6, Front
Female,0,25,Non-leather, Petrol, 4, Front
Female,0,20,Non-leather, Petrol, 4, Front
Female,1,20,Non-leather, Hybrid, 6, Front
Female,1,20,Leather, Hybrid, 6, Rear
Female,0,15,Leather, Petrol, 4, Rear
Female,0,25,Leather, Hybrid, 4, 4x4
Female,1,20,Non-leather, Petrol, 4, 4x4
Female,0,20,Leather, Hybrid, 6, 4x4
Female,1,20,Non-leather, Hybrid, 6, Rear
Female,0,15,Non-leather, Diesel, 4, Rear
Female,1,20,Non-leather, Hybrid, 4, Front
Female,0,20,Non-leather, Hybrid, 4, Rear
Female,0,15,Leather, Hybrid, 4, Front
Female,1,25,Leather, Diesel, 4, 4x4
Female,1,15,Leather, Hybrid, 4, 4x4
Female,1,20,Leather, Hybrid, 4, 4x4
Female,0,15,Leather, Diesel, 4, Front
Female,0,25,Non-leather, Diesel, 6, Front
Female,0,25,Leather, Petrol, 4, 4x4
Female,0,15,Leather, Diesel, 4, Rear
Female,1,20,Leather, Petrol, 4, Rear
Female,0,20,Leather, Diesel, 6, Rear
Female,0,15,Non-leather, Diesel, 6, Rear
Female,1,20,Leather, Hybrid, 6, Front
Female,1,25,Leather, Petrol, 4, Front
Female,1,15,Leather, Hybrid, 6, Rear
Female,0,20,Leather, Petrol, 6, Rear
Female,1,25,Leather, Hybrid, 4, Front
Female,1,20,Leather, Diesel, 4, 4x4
Female,0,20,Non-leather, Diesel, 4, Front
Female,1,15,Leather, Hybrid, 6, Front
Female,1,15,Leather, Petrol, 6, 4x4
Female,0,15,Leather, Hybrid, 6, 4x4
Female,0,25,Non-leather, Diesel, 6, Rear
Female,1,25,Non-leather, Hybrid, 4, Rear
Female,0,15,Non-leather, Diesel, 4, Front
Female,1,20,Non-leather, Diesel, 6, Rear
Female,0,20,Leather, Diesel, 4, Front
Female,1,20,Non-leather, Diesel, 4, 4x4
Female,0,20,Leather, Hybrid, 4, Rear
Female,1,25,Non-leather, Hybrid, 4, Front
Female,1,25,Leather, Diesel, 4, Front
Female,0,15,Leather, Petrol, 4, Front
Female,0,20,Non-leather, Hybrid, 6, 4x4
Female,1,15,Non-leather, Hybrid, 4, 4x4
Female,0,15,Non-leather, Petrol, 4, 4x4
Female,0,25,Non-leather, Hybrid, 6, Front
Female,1,25,Leather, Hybrid, 6, Rear
Female,1,25,Non-leather, Hybrid, 4, 4x4
Female,1,20,Leather, Diesel, 4, Rear
Female,0,25,Non-leather, Petrol, 6, Rear
Female,0,15,Non-leather, Hybrid, 4, Front
Female,0,25,Non-leather, Diesel, 4, 4x4
Female,1,20,Non-leather, Petrol, 6, Front
Female,0,25,Non-leather, Petrol, 4, 4x4
Female,1,15,Leather, Petrol, 6, Front
Female,1,20,Leather, Petrol, 4, Front
Female,0,25,Non-leather, Petrol, 6, Front
Female,0,15,Non-leather, Hybrid, 6, 4x4
Female,1,15,Leather, Petrol, 6, Rear
Female,0,25,Non-leather, Petrol, 4, Rear
Female,1,20,Non-leather, Petrol, 6, 4x4
Female,0,20,Non-leather, Diesel, 6, 4x4
Female,0,25,Leather, Diesel, 4, Rear
Female,0,15,Non-leather, Diesel, 6, 4x4
Female,0,25,Non-leather, Hybrid, 6, Rear
Female,0,15,Leather, Diesel, 6, 4x4
Female,1,25,Leather, Diesel, 6, 4x4
Female,1,25,Non-leather, Petrol, 6, 4x4
Female,0,25,Leather, Hybrid, 4, Rear
Female,1,15,Non-leather, Petrol, 4, Rear
Female,1,20,Non-leather, Diesel, 6, Front
Female,0,25,Non-leather, Diesel, 4, Rear
Female,0,25,Leather, Hybrid, 6, 4x4
Female,1,25,Leather, Hybrid, 6, Front
Female,1,15,Non-leather, Petrol, 6, Front
Female,0,20,Non-leather, Petrol, 6, Rear
Female,1,15,Leather, Hybrid, 4, Rear
Female,1,25,Non-leather, Diesel, 4, Front
Female,0,20,Non-leather, Diesel, 4, Rear
Female,1,20,Non-leather, Petrol, 4, Rear
Female,0,25,Leather, Petrol, 4, Rear
Female,1,15,Leather, Diesel, 4, 4x4
Female,0,20,Leather, Hybrid, 4, Front
Female,0,15,Non-leather, Petrol, 6, 4x4
Female,0,15,Leather, Diesel, 6, Rear
Female,0,20,Leather, Petrol, 6, Front
Female,1,25,Non-leather, Petrol, 4, Front
Female,0,20,Non-leather, Petrol, 4, Front
Female,0,20,Non-leather, Hybrid, 6, Front
Female,0,20,Leather, Hybrid, 6, Rear
Female,0,15,Leather, Petrol, 4, Rear
Female,0,25,Leather, Hybrid, 4, 4x4
Female,1,20,Non-leather, Petrol, 4, 4x4
Female,1,20,Leather, Hybrid, 6, 4x4
Female,0,20,Non-leather, Hybrid, 6, Rear
Female,1,15,Non-leather, Diesel, 4, Rear
Female,0,20,Non-leather, Hybrid, 4, Front
Female,0,20,Non-leather, Hybrid, 4, Rear
Female,1,15,Leather, Hybrid, 4, Front
Female,0,25,Leather, Diesel, 4, 4x4
Female,0,15,Leather, Hybrid, 4, 4x4
Female,0,20,Leather, Hybrid, 4, 4x4
Female,0,15,Leather, Diesel, 4, Front
Female,0,25,Non-leather, Diesel, 6, Front
Female,0,25,Leather, Petrol, 4, 4x4
Female,0,15,Leather, Diesel, 4, Rear
Female,0,20,Leather, Petrol, 4, Rear
Female,0,20,Leather, Diesel, 6, Rear
Female,0,15,Non-leather, Diesel, 6, Rear
Female,1,20,Leather, Hybrid, 6, Front
Female,0,25,Leather, Petrol, 4, Front
Female,1,15,Leather, Hybrid, 6, Rear
Female,0,20,Leather, Petrol, 6, Rear
Female,0,25,Leather, Hybrid, 4, Front
Female,1,20,Leather, Diesel, 4, 4x4
Female,0,20,Non-leather, Diesel, 4, Front
Female,0,15,Leather, Hybrid, 6, Front
Female,0,15,Leather, Petrol, 6, 4x4
Female,0,15,Leather, Hybrid, 6, 4x4
Female,1,25,Non-leather, Diesel, 6, Rear
Female,1,25,Non-leather, Hybrid, 4, Rear
Female,0,15,Non-leather, Diesel, 4, Front
Female,1,20,Non-leather, Diesel, 6, Rear
Female,0,20,Leather, Diesel, 4, Front
Female,1,20,Non-leather, Diesel, 4, 4x4
Female,1,20,Leather, Hybrid, 4, Rear
Female,0,25,Non-leather, Hybrid, 4, Front
Female,0,25,Leather, Diesel, 4, Front
Female,0,15,Leather, Petrol, 4, Front
Female,1,20,Non-leather, Hybrid, 6, 4x4
Female,0,15,Non-leather, Hybrid, 4, 4x4
Female,0,15,Non-leather, Petrol, 4, 4x4
Female,0,25,Non-leather, Hybrid, 6, Front
Female,1,25,Leather, Hybrid, 6, Rear
Female,0,25,Non-leather, Hybrid, 4, 4x4
Female,1,20,Leather, Diesel, 4, Rear
Female,0,25,Non-leather, Petrol, 6, Rear
Female,0,15,Non-leather, Hybrid, 4, Front
Female,1,25,Non-leather, Diesel, 4, 4x4
Female,1,20,Non-leather, Petrol, 6, Front
Female,1,25,Non-leather, Petrol, 4, 4x4
Female,0,15,Leather, Petrol, 6, Front
Female,0,20,Leather, Petrol, 4, Front
Female,0,25,Non-leather, Petrol, 6, Front
Female,0,15,Non-leather, Hybrid, 6, 4x4
Female,1,15,Leather, Petrol, 6, Rear
Female,0,25,Non-leather, Petrol, 4, Rear
Female,1,20,Non-leather, Petrol, 6, 4x4
Female,0,20,Non-leather, Diesel, 6, 4x4
Female,1,25,Leather, Diesel, 4, Rear
Female,0,15,Non-leather, Diesel, 6, 4x4
Female,1,25,Non-leather, Hybrid, 6, Rear
Female,0,15,Leather, Diesel, 6, 4x4
Female,0,25,Leather, Diesel, 6, 4x4
Female,1,25,Non-leather, Petrol, 6, 4x4
Female,0,25,Leather, Hybrid, 4, Rear
Female,1,15,Non-leather, Petrol, 4, Rear
Female,0,20,Non-leather, Diesel, 6, Front
Female,0,25,Non-leather, Diesel, 4, Rear
Female,0,25,Leather, Hybrid, 6, 4x4
Female,1,25,Leather, Hybrid, 6, Front
Female,1,15,Non-leather, Petrol, 6, Front
Female,0,20,Non-leather, Petrol, 6, Rear
Female,1,15,Leather, Hybrid, 4, Rear
Female,1,25,Non-leather, Diesel, 4, Front
Female,1,20,Non-leather, Diesel, 4, Rear
Female,0,20,Non-leather, Petrol, 4, Rear
Female,1,25,Leather, Petrol, 4, Rear
Female,1,15,Leather, Diesel, 4, 4x4
Female,0,20,Leather, Hybrid, 4, Front
Female,0,15,Non-leather, Petrol, 6, 4x4
Female,0,15,Leather, Diesel, 6, Rear
Female,1,20,Leather, Petrol, 6, Front
Female,0,25,Non-leather, Petrol, 4, Front
Female,1,20,Non-leather, Petrol, 4, Front
Female,1,20,Non-leather, Hybrid, 6, Front
Female,1,20,Leather, Hybrid, 6, Rear
Female,0,15,Leather, Petrol, 4, Rear
Female,1,25,Leather, Hybrid, 4, 4x4
Female,0,20,Non-leather, Petrol, 4, 4x4
Female,0,20,Leather, Hybrid, 6, 4x4
Female,0,20,Non-leather, Hybrid, 6, Rear
Female,0,15,Non-leather, Diesel, 4, Rear
Female,0,20,Non-leather, Hybrid, 4, Front
Female,1,20,Non-leather, Hybrid, 4, Rear
Female,1,15,Leather, Hybrid, 4, Front
Female,1,25,Leather, Diesel, 4, 4x4
Female,0,15,Leather, Hybrid, 4, 4x4
Female,0,20,Leather, Hybrid, 4, 4x4
Female,1,15,Leather, Diesel, 4, Front
Female,0,25,Non-leather, Diesel, 6, Front
Female,1,25,Leather, Petrol, 4, 4x4
Female,0,15,Leather, Diesel, 4, Rear
Female,0,20,Leather, Petrol, 4, Rear
Female,0,20,Leather, Diesel, 6, Rear
Female,1,15,Non-leather, Diesel, 6, Rear
Female,0,20,Leather, Hybrid, 6, Front
Female,0,25,Leather, Petrol, 4, Front
Female,1,15,Leather, Hybrid, 6, Rear
Female,1,20,Leather, Petrol, 6, Rear
Female,0,25,Leather, Hybrid, 4, Front
Female,0,20,Leather, Diesel, 4, 4x4
Female,1,20,Non-leather, Diesel, 4, Front
Female,0,15,Leather, Hybrid, 6, Front
Female,1,15,Leather, Petrol, 6, 4x4
Female,0,15,Leather, Hybrid, 6, 4x4
Female,0,25,Non-leather, Diesel, 6, Rear
Female,0,25,Non-leather, Hybrid, 4, Rear
Female,1,15,Non-leather, Diesel, 4, Front
Female,0,20,Non-leather, Diesel, 6, Rear
Female,0,20,Leather, Diesel, 4, Front
Female,1,20,Non-leather, Diesel, 4, 4x4
Female,1,20,Leather, Hybrid, 4, Rear
Female,0,25,Non-leather, Hybrid, 4, Front
Female,1,25,Leather, Diesel, 4, Front
Female,0,15,Leather, Petrol, 4, Front
Female,1,20,Non-leather, Hybrid, 6, 4x4
Female,0,15,Non-leather, Hybrid, 4, 4x4
Female,1,15,Non-leather, Petrol, 4, 4x4
Female,0,25,Non-leather, Hybrid, 6, Front
Female,1,25,Leather, Hybrid, 6, Rear
Female,1,25,Non-leather, Hybrid, 4, 4x4
Female,0,20,Leather, Diesel, 4, Rear
Female,0,25,Non-leather, Petrol, 6, Rear
Female,0,15,Non-leather, Hybrid, 4, Front
Female,0,25,Non-leather, Diesel, 4, 4x4
Female,1,20,Non-leather, Petrol, 6, Front
